Time (ms), Ch 0 (volts)
  0.14975,       3.4317
  0.15000,       3.4220
  0.15025,       3.4268
  0.15050,       3.4220
  0.15075,       3.4317
  0.15100,       3.4268
  0.15125,       3.4293
  0.15150,       3.4293
  0.15175,       3.4268
  0.15200,       3.4244
  0.15225,       3.4268
  0.15250,       3.4244
  0.15275,       3.4317
  0.15300,       3.4268
  0.15325,       3.4293
  0.15350,       3.4268
  0.15375,       3.4268
  0.15400,       3.3809
  0.15425,       3.4268
  0.15450,       3.4317
  0.15475,       3.4268
  0.15500,       3.4220
  0.15525,       3.4244
  0.15550,       3.4293
  0.15575,       3.3688
  0.15600,       3.4244
  0.15625,       3.4268
  0.15650,       3.4220
  0.15675,       3.4244
  0.15700,       3.4220
  0.15725,       3.4244
  0.15750,       3.4220
  0.15775,       3.4220
  0.15800,       3.4220
  0.15825,       3.4244
  0.15850,       3.4220
  0.15875,       3.4268
  0.15900,       3.4244
  0.15925,       3.4268
  0.15950,       3.4268
  0.15975,       3.4317
  0.16000,       3.4268
  0.16025,       3.4293
  0.16050,       3.4220
  0.16075,       3.4268
  0.16100,       3.4268
  0.16125,       3.4268
  0.16150,       3.4123
  0.16175,       3.4220
  0.16200,       3.4438
  0.16225,       3.4268
  0.16250,       3.4268
  0.16275,       3.4268
  0.16300,       3.4244
  0.16325,       3.4268
  0.16350,       3.4196
  0.16375,       3.4293
  0.16400,       3.4268
  0.16425,       3.4268
  0.16450,       3.4172
  0.16475,       3.4244
  0.16500,       3.4244
  0.16525,       3.4244
  0.16550,       3.4244
  0.16575,       3.4293
  0.16600,       3.4244
  0.16625,       3.4268
  0.16650,       3.4268
  0.16675,       3.4317
  0.16700,       3.4293
  0.16725,       3.4341
  0.16750,       3.4268
  0.16775,       3.3978
  0.16800,       3.4293
  0.16825,       3.4293
  0.16850,       3.4244
  0.16875,       3.4244
  0.16900,       3.4268
  0.16925,       3.4293
  0.16950,       3.4293
  0.16975,       3.4293
  0.17000,       3.4268
  0.17025,       3.4293
  0.17050,       3.4220
  0.17075,       3.4244
  0.17100,       3.4244
  0.17125,       3.4244
  0.17150,       3.4196
  0.17175,       3.4268
  0.17200,       3.4244
  0.17225,       3.4268
  0.17250,       3.4220
  0.17275,       3.4268
  0.17300,       3.4244
  0.17325,       3.4244
  0.17350,       3.4268
  0.17375,       3.4220
  0.17400,       3.4220
  0.17425,       3.4268
  0.17450,       3.4293
  0.17475,       3.4317
  0.17500,       3.4244
  0.17525,       3.4341
  0.17550,       3.4196
  0.17575,       3.4268
  0.17600,       3.4268
  0.17625,       3.4293
  0.17650,       3.4293
  0.17675,       3.4268
  0.17700,       3.4220
  0.17725,       3.4244
  0.17750,       3.4268
  0.17775,       3.4220
  0.17800,       3.4220
  0.17825,       3.4268
  0.17850,       3.3809
  0.17875,       3.4293
  0.17900,       3.4244
  0.17925,       3.4268
  0.17950,       3.4268
  0.17975,       3.4268
  0.18000,       3.4172
  0.18025,       3.4244
  0.18050,       3.4172
  0.18075,       3.4220
  0.18100,       3.4220
  0.18125,       3.4268
  0.18150,       3.4196
  0.18175,       3.4244
